nonstereo_aromatic_smiles,accession,standard_type,pPot_mean,chembl_cid,chembl_tid
CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cc(NC(=O)C4CC4)n[nH]3)cc2)no1,P35968,IC50,7.958607314841775,CHEMBL3809588,CHEMBL279
CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cc(NC(=O)C4CC4)on3)cc2)no1,P35968,IC50,5.275724130399211,CHEMBL3808728,CHEMBL279
CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,P35968,IC50,6.366531544420413,CHEMBL2105709_CHEMBL576982,CHEMBL279
CC(C)(C)c1cc(NC(=O)Nc2ccc(Cc3cc(N)n[nH]3)cc2)no1,P35968,IC50,5.180456064458131,CHEMBL3809895,CHEMBL279
CC(C)(C)c1cc(NC(=O)Nc2ccc(Nc3ncnc4c3OCCCN4)cc2)no1,P35968,IC50,6.049635145623877,CHEMBL4793380,CHEMBL279
CC(C)(C)c1cc(NC(=O)Nc2cccc(Oc3cncc(-c4ccc(S(C)(=O)=O)cc4)n3)c2)no1,P35968,IC50,5.318758762624412,CHEMBL3596873,CHEMBL279
CC(C)(C)c1cc(NC(=O)c2cnc3cc(Oc4ncnc5c4CNC5)ccn23)no1,P35968,IC50,7.045757490560675,CHEMBL3808450,CHEMBL279
CC(C)(C)c1cc(NC(=O)n2ccc3cc(Oc4ncnc5c4CCNC5)ccc32)n[nH]1,P35968,IC50,8.096910013008056,CHEMBL3747084,CHEMBL279
CC(C)(C)c1cc(NC(=O)n2ccc3cc(Oc4ncnc5c4CCNC5)ccc32)no1,P35968,IC50,7.522878745280337,CHEMBL3746226,CHEMBL279
CC(C)(C)c1cc(NC(=O)n2ccc3cc(Oc4ncnc5c4CNC5)ccc32)no1,P35968,IC50,8.045757490560675,CHEMBL3745816,CHEMBL279
CC(C)(C)c1cc(NC(=O)n2ccc3cc(Oc4ncnc5c4CNC5)ccc32)on1,P35968,IC50,6.943095148663527,CHEMBL3747565,CHEMBL279
CC(C)(C)c1cc(NC(=O)n2ccc3cc(Oc4ncnc5c4CNC5)cnc32)no1,P35968,IC50,7.113509274827518,CHEMBL3810154,CHEMBL279
CC(C)(C)c1cc(NC(=O)n2ccc3ccc(Oc4ncnc5c4CNC5)cc32)no1,P35968,IC50,7.318758762624412,CHEMBL3808957,CHEMBL279
CC(C)(C)c1cc(NC(=O)n2ccc3nc(Oc4ncnc5c4CNC5)ccc32)no1,P35968,IC50,6.795880017344075,CHEMBL3808653,CHEMBL279
CC(C)(C)c1cc(NC(=O)n2ccc3ncc(Oc4ncnc5c4CNC5)cc32)no1,P35968,IC50,6.346787486224656,CHEMBL3809754,CHEMBL279
CC(C)(C)c1cc(NC(=O)n2ncc3cc(Oc4ncnc5c4CNC5)ccc32)no1,P35968,IC50,5.638272163982407,CHEMBL3810135,CHEMBL279
CC(C)(C)c1ccc(NC(=O)c2ccccc2Cn2ccc3cnccc32)cc1,P35968,IC50,7.2839966563652,CHEMBL203965,CHEMBL279
CC(C)(C)c1ccc(NC(=O)c2ccccc2Cn2ccc3ncnc-3c2)cc1,P35968,IC50,7.214670164989233,CHEMBL380932,CHEMBL279
CC(C)(C)c1ccc(NC(=O)c2scnc2CCc2ccnc3ccccc23)cc1,P35968,IC50,5.600326278518962,CHEMBL201014,CHEMBL279
CC(C)(C)c1ccc(NC(=O)c2scnc2CCc2ccncc2)cc1,P35968,IC50,6.958607314841775,CHEMBL202384,CHEMBL279
CC(C)(C)c1ccc(NC(=O)c2scnc2CCc2cnoc2)cc1,P35968,IC50,5.838631997765026,CHEMBL202234,CHEMBL279
CC(C)(C)c1ccc(Nc2nnc(-c3ccc(C(N)=O)cc3)c3ccccc23)cc1,P35968,IC50,7.107905397309519,CHEMBL370586,CHEMBL279
CC(C)(C)c1ccc(Nc2nnc(-c3cccc(C(N)=O)c3)c3ccccc23)cc1,P35968,IC50,6.3979400086720375,CHEMBL196994,CHEMBL279
CC(C)(C)c1ccc(Nc2nnc(-c3cccc4cnccc34)c3ccccc23)cc1,P35968,IC50,7.1249387366083,CHEMBL206536,CHEMBL279
CC(C)(C)c1ccc(Nc2nnc(-c3cccc4ncccc34)c3ccccc23)cc1,P35968,IC50,5.698970004336019,CHEMBL202950,CHEMBL279
CC(C)(C)c1ccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)cc1,P35968,IC50,7.366531544420413,CHEMBL205325,CHEMBL279
CC(C)(C)c1ccc(Nc2nnc(-c3ccncc3CCc3ccncc3)o2)cc1,P35968,IC50,6.721246399047171,CHEMBL204984,CHEMBL279
CC(C)(C)c1ccc(Nc2nnc(-c3cnccc3CCc3ccncc3)o2)cc1,P35968,IC50,6.508638306165727,CHEMBL383333,CHEMBL279
CC(C)(C)c1cccc(Nc2nnc(-c3ccc(C(N)=O)cc3)c3ccccc23)c1,P35968,IC50,6.327902142064282,CHEMBL196668,CHEMBL279
CC(C)(C)c1nc(Nc2ccc(CCO)cc2)ncc1C#N,P35968,IC50,5.795880017344075,CHEMBL234699,CHEMBL279
CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,P35968,IC50,5.853871964321762,CHEMBL21156,CHEMBL279
CC(C)(C)n1cc(-c2ccc(Cl)cc2)c2c(N)ncnc21,P35968,IC50,5.571865205971211,CHEMBL306012,CHEMBL279
CC(C)(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,P35968,IC50,5.6401645176601125,CHEMBL302281,CHEMBL279
CC(C)(C)n1nc(-c2ccc3scnc3c2)c(C(N)=O)c1N,P35968,IC50,6.6020599913279625,CHEMBL4437124,CHEMBL279
CC(C)(CC(=O)O)CC(=O)Nc1cc(-c2ccccc2)[nH]n1,P35968,IC50,4.327902142064283,CHEMBL1704021,CHEMBL279
CC(C)(N)c1ccc(-c2nc(Nc3ccc(CCN4CCOCC4)cc3)ncc2C#N)cc1,P35968,IC50,7.568636235841012,CHEMBL231800,CHEMBL279
CC(C)(N)c1ccc(-c2nc(Nc3ccc(CCO)cc3)ncc2C#N)cc1,P35968,IC50,7.2839966563652,CHEMBL243017,CHEMBL279
CC(C)(N)c1ccc(-c2nc(Nc3ccc(OCCN4CCOCC4)cc3)ncc2C#N)cc1,P35968,IC50,6.346787486224656,CHEMBL234944,CHEMBL279
CC(C)(N)c1ccc(-c2nc(Nc3cccc(CCN4CCOCC4)c3)ncc2C#N)cc1,P35968,IC50,7.259637310505756,CHEMBL231801,CHEMBL279
CC(C)(Nc1nc(Cl)nc(Nc2ccc3ncsc3c2)n1)c1ccccc1,P35968,IC50,5.259637310505756,CHEMBL175760,CHEMBL279
CC(C)(Nc1nc(NO)nc(Nc2ccc3ncsc3c2)n1)c1ccccc1,P35968,IC50,7.397940008672037,CHEMBL177298,CHEMBL279
CC(C)(Nc1nc(O)nc(Nc2ccc3[nH]cnc3c2)n1)c1ccccc1,P35968,IC50,6.619788758288394,CHEMBL175830,CHEMBL279
CC(C)(Nc1nc(O)nc(Nc2ccc3ncsc3c2)n1)c1ccccc1,P35968,IC50,7.455931955649724,CHEMBL175862,CHEMBL279
CC(C)(O)CNc1cc(Oc2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)ncn1,P35968,IC50,6.494850021680094,CHEMBL4854957,CHEMBL279
CC(C)(O)c1ccc(-c2nc(Nc3ccc(CCO)cc3)ncc2C#N)cc1,P35968,IC50,6.3872161432802645,CHEMBL234697,CHEMBL279
CC(C)C(=O)Nc1cc(Oc2ccc(Nc3nccc4[nH]cc(-c5ccc(F)cc5)c(=O)c34)cc2F)ccn1,P35968,IC50,6.638083381331357,CHEMBL4468880,CHEMBL279
CC(C)CNc1cc(Oc2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)ncn1,P35968,IC50,6.494850021680094,CHEMBL4865829,CHEMBL279
CC(C)N(Cc1ccccc1)c1nc(O)nc(Nc2ccc3ncsc3c2)n1,P35968,IC50,7.744727494896693,CHEMBL176019,CHEMBL279
CC(C)Nc1cc(Oc2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)ncn1,P35968,IC50,7.301029995663981,CHEMBL4873406,CHEMBL279
CC(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCCC(=O)N(C)C)Cc1ccccc1-4)C(=O)NC3,P35968,IC50,7.744727494896693,CHEMBL184971,CHEMBL279
CC(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,P35968,IC50,8.096910013008056,CHEMBL150894,CHEMBL279
CC(C)Oc1cc(OCCCN2CCCC2)cc2ncnc(Nc3c(Cl)ccc4c3OCO4)c12,P35968,IC50,5.920818753952375,CHEMBL214376,CHEMBL279
CC(C)Oc1cc(OCCN2CCOCC2)cc2ncnc(Nc3c(Cl)ccc4c3OCO4)c12,P35968,IC50,5.0,CHEMBL436968,CHEMBL279
CC(C)c1cc(NC(=O)n2ccc3cc(Oc4ncnc5c4CCNC5)ccc32)n[nH]1,P35968,IC50,8.221848749616356,CHEMBL3745943,CHEMBL279
CC(C)c1cc(NC(=O)n2ccc3cc(Oc4ncnc5c4CNC5)ccc32)no1,P35968,IC50,8.045757490560675,CHEMBL3747273,CHEMBL279
CC(C)c1ccc(N(C)c2ccnc(Nc3ccc(-c4nc5cc(F)c(F)cc5[nH]4)cc3)n2)cc1,P35968,IC50,6.300162274132754,CHEMBL5421873,CHEMBL279
